,ax,ay,az,labelWalking,labelShaking,labelStanding,labelTrotting,gx,gy,gz,temp,pressure
2022-06-07 00:00:05.001,-4.1989788,8.622323999999999,-3.1923619999999997,1,0,0,0,9.8682928,-48.6805156,35.39267879999999,39.4712,
2022-06-07 00:00:05.251,-3.2560964,9.4384936,-4.0939364000000005,1,0,0,0,15.980487599999998,-9.656112000000002,-18.178052944,39.48,
2022-06-07 00:00:05.501,-4.10888784,8.069412799999998,-3.1775068,1,0,0,0,-37.9731484,54.5073284,-0.3487904000000001,39.472,
2022-06-07 00:00:05.751,-5.6086040000000015,8.704641200000001,-2.3363116399999995,1,0,0,0,-7.6097546000000005,-25.5171056,-20.28781416,39.4744,
2022-06-07 00:00:06.001,-3.5500392,8.410029999999999,-3.9783512,1,0,0,0,64.982924,-60.63412879999999,17.2243836,39.4716,
2022-06-07 00:00:06.251,-5.271340800000001,8.4979156,-3.636872,1,0,0,0,13.663409199999998,-44.46343720000001,19.81707768,39.4724,
2022-06-07 00:00:06.501,-4.018414,8.806043199999998,-2.8903672,1,0,0,0,-29.858534000000002,55.390268000000006,-11.612205199999998,39.4708,
2022-06-07 00:00:06.751,-6.2587876,8.2135616,-2.55233756,1,0,0,0,-2.6438532,-32.0609308,-13.473189200000002,39.4716,
2022-06-07 00:00:07.001,-2.98409964,8.164488799999999,-5.1479936,1,0,0,0,42.2780444,-23.57556712000001,20.91951028,39.4704,
2022-06-07 00:00:07.251,-5.571610400000001,7.511718400000001,-3.4189292,1,0,0,0,18.268292,-9.256105200000002,-40.4366312,39.4692,
2022-06-07 00:00:07.501,-5.622502,7.4744344,-3.4119321199999995,1,0,0,0,-70.25125279999999,27.775594800000004,-19.487808800000003,39.472,
2022-06-07 00:00:07.751,-8.166309599999998,7.020915200000001,-3.3304684,1,0,0,0,35.23650392,11.165841999999998,-20.348786624000002,39.4692,
2022-06-07 00:00:08.001,-5.385966799999999,8.4040892,-4.1838352,1,0,0,0,-6.529283599999999,-33.16829868,53.217136399999994,39.4676,
2022-06-07 00:00:08.251,-5.776134000000001,7.595195599999999,-4.1495236,1,0,0,0,28.421946000000002,-3.82195068,28.69753720000001,39.4744,
2022-06-07 00:00:08.501,-3.4527611199999995,9.1634372,-2.8267291200000004,1,0,0,0,-57.16825600000001,53.91219952,-29.804901600000004,39.46440000000001,
2022-06-07 00:00:08.751,-5.8876916,7.8403512000000015,-3.26146332,1,0,0,0,-13.070736360000005,34.71462639999999,-26.6999928,39.4688,
2022-06-07 00:00:09.001,-5.28265,7.791382400000001,-2.8879710400000005,1,0,0,0,-41.82441119999999,-16.7145908,-25.7707336,39.46720000000001,
2022-06-07 00:00:09.251,-3.8504044,8.991304800000002,-4.09719572,1,0,0,0,56.073184,-65.5903072,14.94146184,39.4636,
2022-06-07 00:00:09.501,-4.235013200000001,7.333354000000001,-4.3817472,1,0,0,0,30.66098156,-35.1585796,24.704870176,39.4628,
2022-06-07 00:00:09.751,-3.4600466000000005,10.322151199999999,-3.0059512,1,0,0,0,-43.351212,82.38783199999999,-49.636584,39.4656,
2022-06-07 00:00:10.001,-4.9867892,7.464560799999999,-2.49770812,1,0,0,0,-45.34387279999999,19.004886400000004,-2.4365703999999995,39.4676,
2022-06-07 00:00:10.251,-4.00106692,9.299341199999999,-4.3255836,1,0,0,0,61.58532879999999,-72.060982,13.639035999999995,39.468,
2022-06-07 00:00:10.501,-4.455351599999998,8.154808000000001,-4.251978800000002,1,0,0,0,30.21951676,-41.853651600000006,27.3683024,39.4636,
2022-06-07 00:00:10.751,-3.6508648,9.476647999999999,-2.809477428,1,0,0,0,-63.59758120000001,93.84632000000002,-46.8927068,39.46400000000001,
2022-06-07 00:00:11.001,-6.078414800000001,7.807767600000001,-2.8495387999999995,1,0,0,0,4.45852964,-44.8634296,-13.709763199999998,39.4692,
2022-06-07 00:00:11.251,-3.2556165519999998,8.787165199999999,-4.1178,1,0,0,0,64.714652,-34.56339560000001,48.39510560000001,39.4652,
2022-06-07 00:00:11.501,-4.32155832,8.000506,-4.1329432,1,0,0,0,13.50975572,-23.070688000000004,-29.441495599999996,39.466,
2022-06-07 00:00:11.751,-4.561448,8.496673999999999,-2.7574364,1,0,0,0,-66.00973640000001,56.75120239999999,8.753652399999998,39.466,
2022-06-07 00:00:12.001,-4.54055496,9.0553272,-4.34005548,1,0,0,0,43.785408,-77.068363,-21.548763200000003,39.4692,
2022-06-07 00:00:12.251,-4.3895100000000005,7.392778,-3.74977166,1,0,0,0,24.05853560000001,-5.387806400000001,56.99021984,39.4624,
2022-06-07 00:00:12.501,-3.753797312,10.458332400000002,-3.2643378800000007,1,0,0,0,-47.619464,70.865876,-63.47558079999999,39.4588,
2022-06-07 00:00:12.751,-5.9760588399999985,7.4811416,-2.79174784,1,0,0,0,-31.536599199999998,-3.258568000000001,-12.219506800000001,39.46440000000001,
2022-06-07 00:00:13.001,-3.3263476,8.923453599999998,-4.0885692,1,0,0,0,68.21953400000001,-51.880455600000005,12.7731688,39.4648,
2022-06-07 00:00:13.251,-4.5834915999999986,7.335468,-3.6986886,1,0,0,0,10.058531600000002,-30.99024368,12.0146288,39.46240000000001,
2022-06-07 00:00:13.501,-5.1625608,8.665260400000001,-3.7040556000000002,1,0,0,0,-30.646341200000002,73.4414496,-62.20973999999999,39.46320000000001,
2022-06-07 00:00:13.751,-6.385777200000001,6.8479215999999985,-2.9651232000000003,1,0,0,0,-33.2341044,8.014632,1.3365928000000011,39.4648,
2022-06-07 00:00:14.001,-6.123941200000001,7.9223940000000015,-3.5787920000000004,1,0,0,0,47.59512400000001,-28.2317068,-37.917060799999994,39.4608,
2022-06-07 00:00:14.251,-6.623367599999999,6.837091999999998,-4.0564632000000005,1,0,0,0,68.04875200000001,-24.3829268,86.599968,39.4644,
2022-06-07 00:00:14.501,-5.8622952,6.3581764000000005,-4.393342400000001,1,0,0,0,7.314624200000001,-43.70730800000001,-3.7999987999999996,39.46320000000001,
2022-06-07 00:00:14.751,-6.248726,6.427947600000001,-4.8688084,1,0,0,0,59.2926944,-24.778048000000002,-9.31707052,39.4564,
